Reference,Type, Value, Footprint
BT1,Bat Holder,Battery_Cell,Livrary:CR1220_SMD
C1,Capacitor,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C10,Capacitor,47u,Capacitor_SMD:CP_Elec_4x4.5
C11,Capacitor,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C12,Capacitor,100uF,Capacitor_SMD:CP_Elec_5x5.3
C13,Capacitor,220uF,Capacitor_SMD:CP_Elec_5x5.3
C14,Capacitor,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C15,Capacitor,22uF,Capacitor_SMD:CP_Elec_4x4.5
C16,Capacitor,47n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C17,Capacitor,10uF,Capacitor_SMD:CP_Elec_4x4.5
C2,Capacitor,10u,Capacitor_SMD:CP_Elec_4x4.5
C3,Capacitor,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C4,Capacitor,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder
C5,Capacitor,220u,Capacitor_SMD:CP_Elec_5x5.3
C6,Capacitor,220u,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder
C7,Capacitor,100u,Capacitor_SMD:CP_Elec_5x5.3
C8,Capacitor,100u,Capacitor_SMD:CP_Elec_5x5.3
C9,Capacitor,470u,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E
D1,Diode,SR540,Diode_SMD:D_SMA
D2,Diode,1N4004,Diode_SMD:D_SMB-SMC_Universal_Handsoldering
D4,LED,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
D5,LED,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder
J1,SD Card ,SD_Card,Livrary:TF_SDCard
J10,JST PH Connector,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal
J11,JST PH Connector,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal
J12,JST SH Connector,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal
J13,JST PH Connector,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal
J2,JST PH Connector,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal
J3,JST PH Connector,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal
J4,Pin,BAT+,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat
J5,Pin,CHG+,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat
J6,Pin,BAT-,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat
J7,Pin,CHG-,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat
J8,JST PH Connector,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal
J9,JST PH Connector,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal
