Reference, Value, Footprint,Source,Estimated cost,Comment
BT1,Battery_Cell,Livrary:CR1220_SMD,https://fr.aliexpress.com/item/33014722862.html,0.24,
C1,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C10,47u,Capacitor_SMD:CP_Elec_4x4.5,~,0.046153846,
C11,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C12,100uF,Capacitor_SMD:CP_Elec_5x5.3,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C13,220uF,Capacitor_SMD:CP_Elec_5x5.3,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C14,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C15,22uF,Capacitor_SMD:CP_Elec_4x4.5,~,0.046153846,
C16,47n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C17,10uF,Capacitor_SMD:CP_Elec_4x4.5,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C2,10u,Capacitor_SMD:CP_Elec_4x4.5,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C3,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C4,100n,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~,0.036,
C5,220u,Capacitor_SMD:CP_Elec_5x5.3,~,0.046153846,
C6,220u,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,"https://fr.aliexpress.com/item/1005001510640858.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra
https://fr.aliexpress.com/item/32372522340.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra",0.6,
C7,100u,Capacitor_SMD:CP_Elec_5x5.3,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C8,100u,Capacitor_SMD:CP_Elec_5x5.3,https://fr.aliexpress.com/item/32854444492.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra,0.046153846,
C9,470u,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,"https://fr.aliexpress.com/item/1005001510640858.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra
https://fr.aliexpress.com/item/32372522340.html?spm=a2g0o.order_list.0.0.7c225e5buumr6E&gatewayAdapt=glo2fra",0.6,
D1,SR540,Diode_SMD:D_SMA,https://fr.aliexpress.com/item/32774058057.html,0.051428571,
D2,1N4004,Diode_SMD:D_SMB-SMC_Universal_Handsoldering,https://fr.aliexpress.com/item/32774058057.html,0.051428571,
D4,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://fr.aliexpress.com/item/32381504337.html,0.0072,
D5,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://fr.aliexpress.com/item/32381504337.html,0.0072,
J1,SD_Card,Livrary:TF_SDCard,https://fr.aliexpress.com/item/32605774185.html,0.12,
J10,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,https://fr.aliexpress.com/item/33053313994.html,0.048,
