,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,BT1,Battery_Cell,Device:Battery_Cell,Livrary:CR1220_SMD,~
,,C1,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C2,10uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_4x4.5,~
,,C3,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C4,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C5,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C6,470uF,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,~
,,C7,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C8,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C9,470uF,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,~
,,C10,47uF,Device:C,Capacitor_SMD:CP_Elec_4x4.5,~
,,C11,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C12,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C13,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C14,100nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C15,100uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_5x5.3,~
,,C16,47nF,Device:C,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,C17,10uF,Device:C_Polarized,Capacitor_SMD:CP_Elec_4x4.5,~
,,D1,SR540,Device:D_Shockley,Diode_SMD:D_SMA,~
,,D2,1N4004,Diode:1N4001,Diode_SMD:D_SMB-SMC_Universal_Handsoldering,http://www.vishay.com/docs/88503/1n4001.pdf
,,D4,STBY,Device:LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
,,D5,CHRG,Device:LED,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
