Reference(s),Value,Footprint,
BT1,CR1220,Livrary:CR1220_SMD,
C1,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C2,10uF,Capacitor_SMD:CP_Elec_4x4.5,
C3,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C4,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C5,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C6,470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,
C7,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C8,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C9,470uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E,
C10,47uF,Capacitor_SMD:CP_Elec_4x4.5,
C11,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C12,100uF,Capacitor_SMD:CP_Elec_5x5.3,
C13,220uF,Capacitor_SMD:CP_Elec_5x5.3,
C14,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C15,220uF,Capacitor_SMD:CP_Elec_5x5.3,
C16,47nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
C17,10uF,Capacitor_SMD:CP_Elec_4x4.5,
C18,220uF,Capacitor_Tantalum_SMD:CP_EIA-7360-38_Kemet-E_Pad2.25x4.25mm_HandSolder,
C19,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D1,SR540,Diode_SMD:D_SMA,
D2,1N4004,Diode_SMD:D_SMA,
D3,PWR,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D4,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
D5,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
J1,SD_Card,Livrary:TF_SDCard,
J2,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
J3,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
J8,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
J9,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
J10,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,
J11,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,
J12,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
J13,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
J14,USB_B_Micro,Livrary:USB_Micro-B,
L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8,
R1,47K* - NOT REQUIRED,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R2,47K* - NOT REQUIRED,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R3,47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R6,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
R7,1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
